image_id,id,split
721_AM_Chest_AP7,721,train
633_AM_Chest_AP8,633,train
661_AM_Chest_AP1,661,train
622_AM_Chest_AP1,622,train
156_AM_Chest_AP2,156,train
156_AM_Chest_AP4,156,train
751_AM_Chest_AP2,751,train
751_AM_Chest_AP19,751,train
751_AM_Chest_AP10,751,train
751_AM_Chest_AP7,751,train
751_AM_Chest_AP4,751,train
611_AM_Chest_AP6,611,train
611_AM_Chest_AP4,611,train
805_AM_Chest_AP2,805,train
852_AM_Chest_AP2,852,train
852_AM_Chest_AP3,852,train
047_PM_Chest_AP,047,train
319_AM_Chest_AP8,319,train
319_AM_Chest_AP7,319,train
319_AM_Chest_AP5,319,train
550_AM_Chest_AP2,550,train
546_AM_Chest_AP6,546,train
546_AM_Chest_AP3,546,train
553_AM_Chest_AP2,553,train
153_AM_Chest_AP1,153,train
827_AM_Chest_AP1,827,train
740_AM_Chest_AP6,740,train
740_AM_Chest_AP1,740,train
094_AM_Chest_AP3,094,train
506_AM_Chest_AP2,506,train
792_AM_Chest_AP1,792,train
106_AM_Chest_AP2,106,train
877_AM_Chest_AP,877,train
342_AM_Chest_AP3,342,train
342_AM_Chest_AP2,342,train
640_AM_Chest_AP3,640,train
640_AM_Chest_AP2,640,train
466_AM_Chest_AP2,466,train
480_AM_Chest_AP2,480,train
591_AM_Chest_AP11,591,train
591_AM_Chest_AP16,591,train
591_AM_Chest_AP15,591,train
591_AM_Chest_AP14,591,train
591_AM_Chest_AP10,591,train
591_AM_Chest_AP9,591,train
195_AM_Chest_AP2,195,train
195_AM_Chest_AP6,195,train
445_AM_Chest_AP6,445,train
445_AM_Chest_AP5,445,train
445_AM_Chest_AP2,445,train
161_AM_Chest_AP1,161,train
321_AM_Chest_AP2,321,train
152_AM_Chest_AP5,152,train
863_AM_Chest_AP7,863,train
863_AM_Chest_AP8,863,train
728_AM_Chest_AP1,728,train
728_AM_Chest_AP2,728,train
728_AM_Chest_AP8,728,train
728_AM_Chest_AP7,728,train
173_AM_Chest_AP1,173,train
626_AM_Chest_AP1,626,train
802_AM_Chest_AP3,802,train
219_AM_Chest_AP3,219,train
219_AM_Chest_AP2,219,train
072_AM_Chest_AP2,072,train
380_AM_Chest_AP1,380,train
320_AM_Chest_AP2,320,train
510_AM_Chest_AP1,510,train
693_AM_Chest_AP6,693,train
198_AM_Chest_AP5,198,train
198_AM_Chest_AP1,198,train
523_AM_Chest_AP1,523,train
760_AM_Chest_AP1,760,train
302_AM_Chest_AP1,302,train
