model_name,box_preset,val_acc,saved_model
densenet161,t1-t5,0.8694,densenet161_t1-t5_epoch=556-val_acc_epoch=0.8694.ckpt
efficientnet_b7,clavicle-only,0.8577,efficientnet_b7_clavicle-only_epoch=199-val_acc_epoch=0.8577.ckpt
efficientnet_b3,clavicle-only,0.8571,efficientnet_b3_clavicle-only_epoch=317-val_acc_epoch=0.8571.ckpt
densenet201,clavicle-only,0.8571,densenet201_clavicle-only_epoch=528-val_acc_epoch=0.8571.ckpt
efficientnet_b6,clavicle-only,0.8545,efficientnet_b6_clavicle-only_epoch=291-val_acc_epoch=0.8545.ckpt
densenet169,clavicle-only,0.8497,densenet169_clavicle-only_epoch=452-val_acc_epoch=0.8497.ckpt
densenet161,clavicle-only,0.8465,densenet161_clavicle-only_epoch=554-val_acc_epoch=0.8465.ckpt
efficientnet_b6,t1-t5,0.8465,efficientnet_b6_t1-t5_epoch=120-val_acc_epoch=0.8465.ckpt
efficientnet_b7,t1-t5,0.8449,efficientnet_b7_t1-t5_epoch=211-val_acc_epoch=0.8449.ckpt
densenet169,t1-t5,0.8412,densenet169_t1-t5_epoch=423-val_acc_epoch=0.8412.ckpt
efficientnet_b2,clavicle-only,0.8396,efficientnet_b2_clavicle-only_epoch=340-val_acc_epoch=0.8396.ckpt
efficientnet_b5,clavicle-only,0.8374,efficientnet_b5_clavicle-only_epoch=163-val_acc_epoch=0.8374.ckpt
efficientnet_b0,clavicle-only,0.8348,efficientnet_b0_clavicle-only_epoch=331-val_acc_epoch=0.8348.ckpt
densenet201,t1-t5,0.8342,densenet201_t1-t5_epoch=336-val_acc_epoch=0.8342.ckpt
densenet121,clavicle-only,0.8326,densenet121_clavicle-only_epoch=484-val_acc_epoch=0.8326.ckpt
efficientnet_b1,clavicle-only,0.83,efficientnet_b1_clavicle-only_epoch=337-val_acc_epoch=0.8300.ckpt
efficientnet_b2,t1-t5,0.8225,efficientnet_b2_t1-t5_epoch=288-val_acc_epoch=0.8225.ckpt
efficientnet_b3,complete-vertebrae,0.8225,efficientnet_b3_complete-vertebrae_epoch=437-val_acc_epoch=0.8225.ckpt
efficientnet_b5,t1-t5,0.8188,efficientnet_b5_t1-t5_epoch=357-val_acc_epoch=0.8188.ckpt
densenet121,t1-t5,0.8161,densenet121_t1-t5_epoch=475-val_acc_epoch=0.8161.ckpt
efficientnet_b4,t1-t5,0.8145,efficientnet_b4_t1-t5_epoch=1176-val_acc_epoch=0.8145.ckpt
efficientnet_b1,t1-t5,0.8118,efficientnet_b1_t1-t5_epoch=380-val_acc_epoch=0.8118.ckpt
efficientnet_b6,complete-vertebrae,0.8097,efficientnet_b6_complete-vertebrae_epoch=199-val_acc_epoch=0.8097.ckpt
efficientnet_b0,t1-t5,0.8086,efficientnet_b0_t1-t5_epoch=375-val_acc_epoch=0.8086.ckpt
efficientnet_b7,complete-vertebrae,0.8049,efficientnet_b7_complete-vertebrae_epoch=190-val_acc_epoch=0.8049.ckpt
efficientnet_b3,t1-t5,0.8028,efficientnet_b3_t1-t5_epoch=267-val_acc_epoch=0.8028.ckpt
densenet201,complete-vertebrae,0.8017,densenet201_complete-vertebrae_epoch=437-val_acc_epoch=0.8017.ckpt
resnet34,t1-t5,0.8012,resnet34_t1-t5_epoch=740-val_acc_epoch=0.8012.ckpt
efficientnet_b2,complete-vertebrae,0.799,efficientnet_b2_complete-vertebrae_epoch=361-val_acc_epoch=0.7990.ckpt
densenet161,complete-vertebrae,0.7969,densenet161_complete-vertebrae_epoch=454-val_acc_epoch=0.7969.ckpt
resnet34,clavicle-only,0.7942,resnet34_clavicle-only_epoch=902-val_acc_epoch=0.7942.ckpt
densenet169,complete-vertebrae,0.791,densenet169_complete-vertebrae_epoch=388-val_acc_epoch=0.7910.ckpt
efficientnet_b1,complete-vertebrae,0.7889,efficientnet_b1_complete-vertebrae_epoch=320-val_acc_epoch=0.7889.ckpt
efficientnet_b5,complete-vertebrae,0.7862,efficientnet_b5_complete-vertebrae_epoch=178-val_acc_epoch=0.7862.ckpt
densenet121,complete-vertebrae,0.7793,densenet121_complete-vertebrae_epoch=453-val_acc_epoch=0.7793.ckpt
resnet50,clavicle-only,0.7777,resnet50_clavicle-only_epoch=907-val_acc_epoch=0.7777.ckpt
efficientnet_b0,complete-vertebrae,0.7644,efficientnet_b0_complete-vertebrae_epoch=239-val_acc_epoch=0.7644.ckpt
resnet34,complete-vertebrae,0.7585,resnet34_complete-vertebrae_epoch=1193-val_acc_epoch=0.7585.ckpt
resnet101,t1-t5,0.7537,resnet101_t1-t5_epoch=1122-val_acc_epoch=0.7537.ckpt
resnet50,t1-t5,0.7527,resnet50_t1-t5_epoch=1016-val_acc_epoch=0.7527.ckpt
resnet50,complete-vertebrae,0.7468,resnet50_complete-vertebrae_epoch=1123-val_acc_epoch=0.7468.ckpt
resnet101,complete-vertebrae,0.7361,resnet101_complete-vertebrae_epoch=932-val_acc_epoch=0.7361.ckpt
efficientnet_b4,clavicle-only,0.7186,efficientnet_b4_clavicle-only_epoch=1196-val_acc_epoch=0.7186.ckpt
resnet101,clavicle-only,0.1487,resnet101_clavicle-only_epoch=34-val_acc_epoch=0.1487.ckpt
efficientnet_b4,complete-vertebrae,0.0714,efficientnet_b4_complete-vertebrae_epoch=34-val_acc_epoch=0.0714.ckpt
