model_name,clavicle-only,complete-vertebrae,t1-t5
densenet121,0.8326,0.7793,0.8161
densenet161,0.8465,0.7969,0.8694
densenet169,0.8497,0.791,0.8412
densenet201,0.8571,0.8017,0.8342
efficientnet_b0,0.8348,0.7644,0.8086
efficientnet_b1,0.83,0.7889,0.8118
efficientnet_b2,0.8396,0.799,0.8225
efficientnet_b3,0.8571,0.8225,0.8028
efficientnet_b4,0.7186,0.0714,0.8145
efficientnet_b5,0.8374,0.7862,0.8188
efficientnet_b6,0.8545,0.8097,0.8465
efficientnet_b7,0.8577,0.8049,0.8449
resnet101,0.1487,0.7361,0.7537
resnet34,0.7942,0.7585,0.8012
resnet50,0.7777,0.7468,0.7527
